OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 000101,01-06-2014,59,Distributor,USD,NXH382,47,25,5,1963.10,9815.50,1001.18
SO - 000102,01-06-2014,33,Wholesale,USD,GUT930,36,24,5,3939.60,19698.00,3348.66
SO - 000103,01-06-2014,8,Export,USD,GUT930,39,14,10,1775.50,17755.00,781.22
SO - 000104,01-06-2014,76,Export,USD,AXW291,20,2,6,2324.90,13949.40,1464.69
SO - 000105,01-06-2014,143,Wholesale,USD,AXW291,20,13,6,1822.40,10934.40,1476.14
SO - 000106,01-06-2014,124,Wholesale,USD,NXH382,52,12,6,1038.50,6231.00,446.56
SO - 000107,01-06-2014,151,Distributor,USD,AXW291,1,22,10,1192.60,11926.00,536.67
SO - 000108,01-06-2014,20,Distributor,USD,NXH382,51,10,10,1815.70,18157.00,1525.19
SO - 000109,02-06-2014,121,Wholesale,USD,NXH382,54,25,7,3879.30,27155.10,2211.20
SO - 000110,02-06-2014,110,Wholesale,USD,NXH382,47,4,6,1956.40,11738.40,1212.97
SO - 000111,02-06-2014,130,Export,USD,AXW291,3,17,12,201.00,2412.00,124.62
SO - 000112,02-06-2014,144,Distributor,USD,AXW291,28,28,8,6277.90,50223.20,2762.28
SO - 000113,02-06-2014,130,Export,USD,NXH382,57,6,7,1051.90,7363.30,641.66
SO - 000114,02-06-2014,27,Export,USD,NXH382,53,27,9,254.60,2291.40,216.41
SO - 000115,02-06-2014,63,Distributor,USD,AXW291,25,3,5,3932.90,19664.50,3146.32
SO - 000116,02-06-2014,110,Wholesale,USD,FLR025,64,29,10,1112.20,11122.00,700.69
SO - 000117,02-06-2014,110,Wholesale,USD,NXH382,58,19,12,1239.50,14874.00,904.84
SO - 000118,02-06-2014,156,Export,USD,AXW291,4,17,12,984.90,11818.80,393.96
SO - 000119,02-06-2014,41,Distributor,USD,FLR025,63,26,5,5581.10,27905.50,4130.01
SO - 000120,02-06-2014,4,Wholesale,USD,AXW291,25,17,8,3095.40,24763.20,1795.33
